0.47,3.4,-3.4,5,-4.9,1.11,6.2,-6.2,8.1,-8.1
1.11,8,-7.9,11.9,-11.9,3.68,21.3,-21,26.7,-27
2.02,14.6,-14.4,21.6,-21.4,5.7,32.9,-33.2,42.2,-42.8
3.28,23.9,-23.7,35.2,-35.1,7.87,41.7,-42.3,57.8,-58.4
4.33,31.5,-31.5,46.5,-46.5,11.73,65.4,-66.5,79.9,-81.6
6.04,43,-43.1,65.1,-65.3,15.14,78.3,-80.1,103.5,-103.7
7.89,55.9,-56.3,85,-85.6,,,,,
9.33,64.4,-65.1,100.6,-101.3,,,,,
11.25,76.6,-77.8,118.1,-119.2,,,,,
13.75,90.7,-91.8,143.7,-145.6,,,,,
15.73,104.7,-105.8,159,-160.1,,,,,
18,112.4,-112.2,181.1,-182.2,,,,,
